CribBin,BinQuantity
08-37,2
166-34,9
166-35,9
166-36,3
167-26,1
167-28,1
167-45,3
167-46,3
42-22,14
42-70,3
45-17,2
45-33,3
45-34,1
45-36,3
46-19,3
46-29,3
46-49,6
46-59,9
46-69,15
46-76,6
46-77,19
46-78,8
47-10,9
47-11,5
47-12,6
47-13,1
47-14,3
47-15,8
47-16,2
47-17,3
47-18,3
47-19,5
47-20,2
47-21,2
47-22,1
47-25,2
47-26,6
47-27,6
47-28,2
47-29,2
47-34,6
47-37,5
47-38,5
47-39,1
47-40,7
47-41,1
47-42,3
47-43,5
47-44,7
47-45,3
47-46,6
47-47,5
47-48,5
47-49,5
47-51,4
47-53,3
47-54,1
47-55,4
47-56,4
47-57,4
47-58,2
47-59,5
47-64,9
47-65,2
47-66,4
47-67,1
47-68,3
47-69,2
47-71,1
47-74,4
47-78,9
47-79,6
48-66,8
48-67,8
49-10,7
49-45,13
