CribBin,BinQuantity
08-12,1
08-14,3
08-45,1
08-46,1
08-49,1
08-66,12
09-22,20
09-32,1
09-33,2
09-35,1
09-36,1
09-39,1
09-50,1
09-51,1
09-53,1
09-54,1
09-57,1
09-59,1
166-16,2
167-52,2
167-54,5
167-55,3
167-57,1
41-79,2
45-16,3
45-19,1
45-20,4
45-23,3
45-24,3
45-25,5
45-26,3
45-30,1
45-32,1
45-34,1
45-35,2
45-40,4
45-41,3
45-43,3
45-45,7
45-46,3
45-47,6
45-48,1
45-51,1
45-52,3
45-54,2
45-55,1
45-56,1
45-62,2
46-19,9
46-29,4
46-39,7
46-49,11
46-59,3
46-69,2
46-76,9
46-77,21
46-78,10
47-10,15
47-11,3
47-12,3
47-13,1
47-14,2
47-15,1
47-16,3
47-17,6
47-19,4
47-22,1
47-24,1
47-25,3
47-26,4
47-27,6
47-28,2
47-29,3
47-30,2
47-31,2
47-32,1
47-33,1
47-34,2
47-35,6
47-36,4
47-37,5
47-38,3
47-39,2
47-40,3
47-42,3
47-44,6
47-45,2
47-46,3
47-47,1
47-49,4
47-50,1
47-51,1
47-53,3
47-55,10
47-56,5
47-57,1
47-58,2
47-59,3
47-61,7
47-64,7
47-65,3
47-66,2
47-67,1
47-68,2
47-69,3
47-74,6
47-78,7
47-79,5
48-67,12
