CribBin,BinQuantity
08-37,2
08-65,1
09-23,20
09-34,1
09-38,2
09-53,5
09-54,1
145-37,2
145-38,8
166-35,16
166-37,2
167-36,2
167-38,3
167-42,2
45-10,2
45-17,1
45-22,1
45-25,6
45-26,8
45-30,9
45-33,1
45-34,1
45-35,2
45-36,3
45-37,2
45-39,3
45-41,4
45-43,6
45-44,11
45-51,1
45-54,1
45-78,1
46-19,7
46-29,8
46-39,12
46-49,4
46-59,9
46-69,14
46-76,8
46-77,41
46-78,7
46-79,1
47-10,19
47-11,13
47-12,7
47-14,5
47-15,9
47-16,8
47-17,7
47-18,5
47-19,11
47-20,3
47-21,5
47-22,1
47-24,1
47-25,4
47-26,5
47-27,6
47-28,6
47-29,5
47-30,4
47-32,3
47-33,7
47-34,4
47-35,10
47-36,5
47-37,8
47-38,8
47-39,5
47-40,10
47-41,1
47-42,3
47-43,3
47-44,7
47-45,10
47-46,2
47-47,8
47-48,5
47-49,4
47-50,5
47-51,7
47-52,5
47-53,3
47-54,3
47-55,5
47-56,12
47-57,3
47-58,1
47-59,10
47-64,14
47-65,8
47-66,7
47-67,1
47-68,5
47-69,8
47-74,4
47-78,14
47-79,10
48-66,27
48-67,24
49-10,34
49-45,16
50-31,5
50-32,5
50-42,2
50-44,4
50-45,1
50-46,3
