CribBin,BinQuantity
08-11,4
08-37,2
08-64,1
09-21,20
09-34,2
166-36,3
167-58,1
167-59,1
41-70,7
42-25,1
45-10,4
45-17,1
45-18,1
45-19,1
45-22,1
45-30,1
45-34,1
45-77,1
45-78,3
45-79,2
46-19,3
46-29,2
46-39,4
46-49,4
46-59,3
46-69,8
46-76,5
46-77,11
46-78,2
46-79,1
47-10,7
47-11,7
47-12,5
47-13,1
47-14,1
47-15,5
47-16,2
47-17,6
47-18,5
47-19,4
47-21,4
47-22,1
47-24,1
47-25,4
47-26,4
47-27,5
47-28,1
47-29,5
47-30,5
47-31,1
47-32,1
47-33,7
47-34,4
47-35,7
47-36,4
47-38,8
47-40,4
47-42,3
47-44,9
47-45,8
47-46,3
47-47,5
47-48,3
47-49,4
47-50,2
47-51,2
47-52,3
47-53,1
47-54,1
47-55,5
47-56,4
47-57,4
47-59,6
47-64,6
47-65,2
47-66,3
47-67,2
47-68,5
47-69,6
47-71,1
47-74,2
47-78,6
47-79,7
48-66,6
48-67,11
49-10,13
49-45,13
50-31,6
50-32,4
50-44,3
50-45,3
50-46,2
