CribBin,BinQuantity
08-11,1
08-43,4
08-46,4
08-47,2
09-12,1
09-42,3
09-44,3
09-57,1
145-33,1
166-48,1
167-26,7
167-44,2
167-46,2
167-47,1
167-48,2
167-66,1
41-68,2
41-79,6
42-36,2
42-40,2
42-41,2
42-79,2
45-18,3
45-20,2
45-30,2
45-31,4
45-34,2
45-35,3
45-36,1
45-37,4
45-38,9
45-40,5
45-41,3
45-42,3
45-43,5
45-44,5
45-45,4
45-46,6
45-47,4
45-51,15
45-53,2
45-54,11
45-55,7
45-56,3
45-57,4
45-58,6
45-64,5
45-78,4
45-79,3
46-19,11
46-29,8
46-39,8
46-49,10
46-59,8
46-69,12
46-76,7
46-77,41
46-78,12
46-79,1
47-10,21
47-11,9
47-12,8
47-13,2
47-14,2
47-15,6
47-16,9
47-17,7
47-18,5
47-19,9
47-20,1
47-21,6
47-24,6
47-25,8
47-26,10
47-27,6
47-28,6
47-29,5
47-30,9
47-31,3
47-32,2
47-33,7
47-34,6
47-35,8
47-36,14
47-37,10
47-38,11
47-39,5
47-40,7
47-41,2
47-42,5
47-43,2
47-44,8
47-45,12
47-46,3
47-47,9
47-48,5
47-49,6
47-50,8
47-51,4
47-52,1
47-53,4
47-54,5
47-55,7
47-56,10
47-57,3
47-58,2
47-59,12
47-61,5
47-64,17
47-65,5
47-66,6
47-67,3
47-68,9
47-69,9
47-74,3
47-78,17
47-79,12
48-67,24
60-150,2
93-120,2
