CribBin,BinQuantity
08-36,2
08-68,5
08-72,1
09-12,2
09-23,80
09-27,3
09-32,2
09-33,1
09-34,1
09-53,2
09-54,1
145-37,6
166-20,7
167-18,1
167-34,5
167-36,6
167-38,5
167-44,1
167-45,8
167-46,2
167-47,12
167-48,8
167-53,2
167-55,4
167-56,8
167-57,1
167-58,1
167-66,4
167-67,3
41-17,2
45-16,2
45-18,7
45-19,1
45-20,2
45-24,4
45-25,3
45-26,1
45-28,9
45-31,2
45-33,4
45-35,6
45-36,1
45-37,1
45-40,1
45-41,1
45-42,3
45-47,1
45-48,1
45-53,1
45-54,1
45-57,1
45-58,1
45-60,5
45-61,4
45-62,3
45-64,2
45-65,1
46-19,11
46-29,9
46-39,16
46-49,14
46-59,15
46-69,16
46-76,16
46-77,56
46-78,16
46-79,2
47-10,28
47-11,17
47-12,6
47-13,1
47-14,6
47-15,16
47-16,12
47-17,10
47-18,10
47-19,11
47-20,4
47-21,6
47-22,2
47-23,2
47-24,3
47-25,7
47-26,13
47-27,9
47-28,5
47-29,11
47-30,8
47-31,2
47-32,3
47-33,12
47-34,4
47-35,15
47-36,15
47-37,7
47-38,17
47-39,12
47-40,13
47-41,1
47-42,4
47-43,8
47-44,10
47-45,15
47-46,8
47-47,6
47-48,3
47-49,11
47-50,7
47-51,7
47-52,5
47-53,4
47-54,5
47-55,23
47-56,10
47-57,5
47-58,3
47-59,19
47-61,10
47-64,19
47-65,10
47-66,10
47-67,5
47-68,12
47-69,9
47-71,1
47-74,9
47-78,18
47-79,19
48-67,37
49-10,46
50-43,1
