CribBin,BinQuantity
09-34,1
09-38,2
09-50,1
09-54,1
145-37,4
145-38,2
166-35,16
167-10,10
167-12,10
167-14,10
167-16,10
167-42,1
167-44,2
167-45,3
167-47,3
167-48,1
167-49,1
167-58,22
167-59,23
167-65,3
167-66,1
41-79,2
45-23,1
45-24,3
45-25,4
45-26,2
45-27,1
45-30,1
45-34,2
45-35,1
45-36,2
45-38,1
45-39,2
45-41,2
45-43,3
45-51,2
45-54,2
45-55,2
46-19,2
46-29,2
46-39,2
46-49,6
46-59,7
46-69,5
46-76,4
46-77,15
47-10,6
47-12,4
47-14,2
47-15,4
47-16,2
47-17,5
47-18,2
47-19,4
47-21,4
47-22,2
47-25,3
47-26,2
47-27,3
47-28,1
47-29,3
47-30,6
47-32,3
47-33,3
47-34,4
47-35,3
47-36,2
47-37,2
47-38,1
47-39,4
47-40,5
47-41,1
47-42,2
47-43,2
47-44,3
47-45,8
47-46,2
47-47,2
47-48,2
47-49,3
47-50,2
47-51,2
47-53,1
47-54,2
47-55,1
47-56,1
47-57,2
47-58,1
47-59,4
47-64,7
47-65,2
47-66,4
47-67,1
47-68,6
47-69,6
47-71,1
47-74,4
47-78,7
47-79,3
48-66,6
48-67,9
49-10,16
49-45,4
50-31,1
50-32,8
50-45,1
50-46,2
50-48,1
