CribBin,BinQuantity
08-20,1
08-32,1
08-37,2
08-65,1
09-23,20
09-34,2
09-36,1
09-38,2
09-42,1
09-50,1
09-51,1
09-53,1
09-54,3
167-36,2
167-42,1
167-44,4
167-45,2
167-46,1
167-47,4
167-48,2
167-49,1
167-55,1
167-57,1
167-58,16
167-59,16
167-65,2
167-66,2
167-67,1
45-19,1
45-22,3
45-23,3
45-24,3
45-25,5
45-26,4
45-27,1
45-34,1
45-35,1
45-36,1
45-68,2
45-73,2
45-78,2
45-79,4
46-19,7
46-29,7
46-39,5
46-49,4
46-59,5
46-69,4
46-76,2
46-77,22
46-78,4
47-10,8
47-11,4
47-12,4
47-14,1
47-15,5
47-16,5
47-17,2
47-18,1
47-19,5
47-20,3
47-21,2
47-22,2
47-24,3
47-25,6
47-26,4
47-27,4
47-28,2
47-29,2
47-30,3
47-32,2
47-33,8
47-34,5
47-35,4
47-36,5
47-37,4
47-38,1
47-39,3
47-40,8
47-42,2
47-43,3
47-44,3
47-45,3
47-46,4
47-47,2
47-48,2
47-49,1
47-50,3
47-51,3
47-53,5
47-54,1
47-55,3
47-56,7
47-57,5
47-58,1
47-59,8
47-64,6
47-65,4
47-66,2
47-67,2
47-68,2
47-69,2
47-74,5
47-78,5
47-79,8
48-66,8
48-67,8
49-10,17
49-45,15
50-44,1
50-46,1
50-49,1
